,Class Number,Class,Division,Year,Quarter,Restrictions,Add Code Required,SLN,ID,Credit,Laboratory,Meeting Day,Meeting Times,Building,Room,Instructor,Status,Enrolled,Enrollment Limit,Grades,Fee,Other,Instructor_raw_from_website,Instructor_pronouns
34,154,,CHEM,2026,WIN,,,,E,,Lab,Th,Other,,DISC 463,,,,24.0,,True,NO OVERLOADS.  ,,
35,154,,CHEM,2026,WIN,,,,F,,Lab,Th,Other,,DISC 463,,,,24.0,,True,NO OVERLOADS.  ,,
36,237,,CHEM,2026,WIN,,,,A,,Lecture,MW,11:00 am-1:00 pm,,UW2 5,"Daruwala, Khushroo",,,48.0,,False,,"Daruwala, Khushroo",
37,238,,CHEM,2026,WIN,,,,A,,Lecture,MW,1:15-3:15 pm,,DISC 61,"Thimmaiah, Muralidhara",,,110.0,,False,,"Thimmaiah, Muralidhara",
38,241,,CHEM,2026,WIN,,,,A,,Lecture,W,3:30-5:30 pm,,DISC 61,"Thimmaiah, Muralidhara",,,80.0,,True,Mandatory lab lecture.  Attendance will be taken.  Students must also enroll for one of the four lab sections.,"Thimmaiah, Muralidhara",
39,241A,,CHEM,2026,WIN,,,,A,,Lab,Th,Other,,DISC 469,"Daruwala, Khushroo",,,20.0,,False,,"Daruwala, Khushroo",
40,241A,,CHEM,2026,WIN,,,,B,,Lab,Th,Other,,DISC 469,"Thimmaiah, Muralidhara",,,20.0,,False,,"Thimmaiah, Muralidhara",
41,241A,,CHEM,2026,WIN,,,,C,,Lab,F,Other,,DISC 469,"Thimmaiah, Muralidhara",,,20.0,,False,,"Thimmaiah, Muralidhara",
42,241A,,CHEM,2026,WIN,,,,D,,Lab,F,Other,,DISC 469,"Daruwala, Khushroo",,,20.0,,False,,"Daruwala, Khushroo",
43,310,,CHEM,2026,WIN,,,,A,,Lecture,TTh,11:00 am-1:00 pm,,,"Anderson, Peter",,,18.0,,False,,"Anderson, Peter",
44,312,,CHEM,2026,WIN,,,,A,,Lecture,TTh,3:30-5:30 pm,,,"Daruwala, Khushroo",,,24.0,,False,,"Daruwala, Khushroo",
45,350,,CHEM,2026,WIN,,,,A,,Lecture,MW,3:30-5:30 pm,,,"Jaffe, Daniel",,,24.0,,False,,"Jaffe, Daniel",
46,365,,CHEM,2026,WIN,,,,A,,Lecture,MW,1:15-3:15 pm,,,"Anderson, Peter",,,24.0,,False,,"Anderson, Peter",
47,402,,CHEM,2026,WIN,,,,A,,Lecture,TTh,8:45-10:45 am,,,"Sommerfeld, David",,,30.0,,False,,"Sommerfeld, David",
48,426,,CHEM,2026,WIN,,,,A,,Lecture,TTh,1:15-3:15 pm,,,"Kim, Hyung",,,24.0,,True,Must enroll in one of the two lab sections.,"Kim, Hyung",
49,426A,,CHEM,2026,WIN,,,,A,,Lab,W,Other,,,"Kim, Hyung",,,12.0,,False,,"Kim, Hyung",
50,426A,,CHEM,2026,WIN,,,,B,,Lab,W,Other,,,"Kim, Hyung",,,12.0,,False,,"Kim, Hyung",
51,498,,CHEM,2026,WIN,,,,A,,IS,,Other,,,,,,10.0,,False,,,
52,498,,CHEM,2026,WIN,,,,B,,IS,,Other,,,,,,10.0,,False,,,
53,499,,CHEM,2026,WIN,,,,A,,IS,,Other,,,,,,10.0,,False,,,
54,499,,CHEM,2026,WIN,,,,B,,,,Other,,,,,,,,False,,,
55,115,,PHYS,2026,WIN,,,,A,,Lecture,,Other,,DISC 162,"Gliboff, Matthew",,,72.0,,False,                        MUST ALSO ENROLL IN A QUIZ SECTION.                         ,"Gliboff, Matthew",
56,115A,,PHYS,2026,WIN,,,,A,,QZ,T,11:00 am-1:00 pm,,DISC 162,"Gliboff, Matthew",,,72.0,,False,SHOULD TO BE TAKEN TOGETHER WITH BPHYS 118 LAB.                    ,"Gliboff, Matthew",
57,115A,,PHYS,2026,WIN,,,,B,,QZ,Th,11:00 am-1:00 pm,,DISC 162,"Gliboff, Matthew",,,72.0,,False,SHOULD TO BE TAKEN TOGETHER WITH BPHYS 118 LAB.                    ,"Gliboff, Matthew",
58,115A,,PHYS,2026,WIN,,,,C,,QZ,F,8:45-10:45 am,,DISC 162,"Gliboff, Matthew",,,72.0,,False,SHOULD TO BE TAKEN TOGETHER WITH BPHYS 118 LAB.                    ,"Gliboff, Matthew",
59,117,,PHYS,2026,WIN,,,,A,,Lab,Th,3:30-5:30 pm,,DISC 368,,,,24.0,,True,SHOULD BE TAKEN TOGETHER WITH BPHYS 114 LECTURE                        ,,
60,117,,PHYS,2026,WIN,,,,B,,Lab,T,1:15-3:15 pm,,DISC 368,,,,24.0,,True,SHOULD BE TAKEN TOGETHER WITH BPHYS 114 LECTURE                        ,,
61,117,,PHYS,2026,WIN,,,,C,,Lab,Th,11:00 am-1:00 pm,,DISC 368,,,,24.0,,True,SHOULD BE TAKEN TOGETHER WITH BPHYS 114 LECTURE                        ,,
62,118,,PHYS,2026,WIN,,,,A,,Lab,W,3:30-5:30 pm,,INV 312,,,,24.0,,True,SHOULD BE TAKEN TOGETHER WITH BPHYS 115 LECTURE.,,
63,118,,PHYS,2026,WIN,,,,B,,Lab,W,5:45-7:45 pm,,INV 312,,,,24.0,,True,SHOULD BE TAKEN TOGETHER WITH BPHYS 115 LECTURE.,,
64,118,,PHYS,2026,WIN,,,,C,,Lab,Th,8:45-10:45 am,,INV 312,,,,24.0,,True,SHOULD BE TAKEN TOGETHER WITH BPHYS 115 LECTURE.,,
65,118,,PHYS,2026,WIN,,,,D,,Lab,Th,11:00 am-1:00 pm,,INV 312,,,,24.0,,True,SHOULD BE TAKEN TOGETHER WITH BPHYS 115 LECTURE.,,
66,118,,PHYS,2026,WIN,,,,E,,Lab,Th,1:15-3:15 pm,,INV 312,,,,24.0,,True,SHOULD BE TAKEN TOGETHER WITH BPHYS 115 LECTURE.,,
67,118,,PHYS,2026,WIN,,,,F,,Lab,Th,5:45-7:45 pm,,INV 312,,,,24.0,,True,SHOULD BE TAKEN TOGETHER WITH BPHYS 115 LECTURE.,,
68,118,,PHYS,2026,WIN,,,,G,,Lab,F,11:00 am-1:00 pm,,INV 312,,,,24.0,,True,SHOULD BE TAKEN TOGETHER WITH BPHYS 115 LECTURE.,,
69,118,,PHYS,2026,WIN,,,,H,,Lab,F,1:15-3:15 pm,,INV 312,,,,24.0,,True,SHOULD BE TAKEN TOGETHER WITH BPHYS 115 LECTURE. Reserve section.,,
70,118,,PHYS,2026,WIN,,,,I,,Lab,F,3:30-5:30 pm,,INV 312,,,,24.0,,True,SHOULD BE TAKEN TOGETHER WITH BPHYS 115 LECTURE. Reserve section.,,
71,122,,PHYS,2026,WIN,,,,A,,Lecture,,Other,,,"Grossmann, Benjamin",,,216.0,,False,,"Grossmann, Benjamin",
72,122A,,PHYS,2026,WIN,,,,A,,Lecture,F,11:00 am-1:00 pm,,DISC 162,"Grossmann, Benjamin",,,72.0,,False,QUIZ SECTION ,"Grossmann, Benjamin",
73,122A,,PHYS,2026,WIN,,,,B,,Lecture,F,1:15-3:15 pm,,DISC 162,"Grossmann, Benjamin",,,72.0,,False,QUIZ SECTION ,"Grossmann, Benjamin",
74,122A,,PHYS,2026,WIN,,,,C,,Lecture,F,3:30-5:30 pm,,DISC 162,,,,72.0,,False,Reserve quiz section.,,
75,201,,PHYS,2026,WIN,,,,A,,Lecture,MW,1:15-3:15 pm,,,,,,72.0,,False,,,
76,224,,PHYS,2026,WIN,,,,A,,Lecture,TTh,1:15-3:15 pm,,,"Key, Joey",,,24.0,,False,,"Key, Joey",
77,311,,PHYS,2026,WIN,,,,A,,Lecture,MW,3:30-5:30 pm,,,"RodrÍguez, Paola Hidalgo",,,24.0,,False,,"RodrÍguez, Paola Hidalgo",
78,322,,PHYS,2026,WIN,,,,A,,Lecture,MW,1:15-3:15 pm,,,"Kas, Joshua",,,24.0,,False,,"Kas, Joshua",
79,324,,PHYS,2026,WIN,,,,A,,Lecture,TTh,11:00 am-1:00 pm,,,"Scherr, Rachel",,,24.0,,False,,"Scherr, Rachel",
80,431,,PHYS,2026,WIN,,,,A,,Lab,MW,Other,,DISC 368,"Ramachandran, Subramanian",,,24.0,,True,,"Ramachandran, Subramanian",
81,498,,PHYS,2026,WIN,,,,A,,IS,,Other,,,,,,,,False,to be arranged,,
82,498,,PHYS,2026,WIN,,,,B,,IS,,Other,,,,,,,,False,to be arranged,,
83,499,,PHYS,2026,WIN,,,,A,,IS,,Other,,,,,,,,False,to be arranged,,
84,499,,PHYS,2026,WIN,,,,B,,IS,,Other,,,,,,,,False,to be arranged,,
85,222,,ME,2026,WIN,,,,A,,Lecture,TTh,1:15-3:15 pm,,,"Balzan, Miguel",,,48.0,,False,,"Balzan, Miguel",
86,315,,ME,2026,WIN,,,,A,,Lecture,TTh,1:15-3:15 pm,,,"Jong, Yoon",,,36.0,,False,,"Jong, Yoon",
87,332,,ME,2026,WIN,,,,A,,Lecture,TTh,11:00 am-1:00 pm,,,Pierre Mourd,,,36.0,,False,,Pierre Mourd,
88,332,,ME,2026,WIN,,,,A,,Lecture,MW,11:00 am-1:00 pm,,,Pierre Mourd,,,36.0,,False,,Pierre Mourd,
89,341,,BME,2026,WIN,,,,A,,Lecture,TTh,11:00 am-1:00 pm,,,Bill Anderson,,,36.0,,False,,Bill Anderson,
90,341,,BME,2026,WIN,,,,B,,Lecture,MW,11:00 am-1:00 pm,,,Wolf Yeigh,,,36.0,,False,Reserve section - Will open if sufficient enrollment Demand,Wolf Yeigh,
91,410,,BME,2026,WIN,,,,A,,Lecture,TTh,8:45-10:45 am,,,Nathan Mead,,,36.0,,False,,Nathan Mead,
92,410A,,BME,2026,WIN,,,,A,,Lab,T,11:00 am-1:00 pm,,,Nathan Mead,,,18.0,,False,,Nathan Mead,
93,410A,,BME,2026,WIN,,,,B,,Lab,Th,11:00 am-1:00 pm,,,Nathan Mead,,,18.0,,False,,Nathan Mead,
94,345,,BME,2026,WIN,,,,A,,Lab,TTh,1:15-3:15 pm,,,Bill Anderson,,,18.0,,False,,Bill Anderson,
95,460,,BME,2026,WIN,,,,A,,Lecture,MW,11:00 am-1:00 pm,,,"Jong, Yoon",,,24.0,,False,,"Jong, Yoon",
96,,,493,2026,WIN,,,,A,,Lecture,MW,3:30-5:30 pm,,,John Bridge,,,24.0,,False,,John Bridge,
97,,,493,2026,WIN,,,,B,,Lecture,TTh,3:30-5:30 pm,,,TBD,,,24.0,,False,,TBD,
98,121,,MATH,2026,WIN,,,,A,,Lecture,Th,11:00 am-1:00 pm,,,"Williams, Deborah",,,28.0,,False,50% hybrid. Meets in person on Thursdays; Asychronous online on Tuesdays.,"Williams, Deborah",
99,122,,MATH,2026,WIN,,,,A,,Lecture,TTh,(FT) 8:45-10:05 am,,,"Williams, Deborah",,,32.0,,False,33% hybrid. Meets in person on Tuesdays and Thursdays; Asynchronous online on Friday,"Williams, Deborah",
100,123,,MATH,2026,WIN,,,,A,,Lecture,MWF,(FT) 8:45-10:05 am,,,"Stiber, Bilin",,,36.0,,False,,"Stiber, Bilin",
101,123,,MATH,2026,WIN,,,,B,,Lecture,MWF,(FT) 10:15-11:35 am,,,"Stiber, Bilin",,,36.0,,False,,"Stiber, Bilin",
102,123,,MATH,2026,WIN,,,,C,,Lecture,MWF,(FT) 11:45-1:05 pm,,,"Stiber, Bilin",,,36.0,,False,,"Stiber, Bilin",
103,144,,MATH,2026,WIN,,,,A,,Lecture,TTh,8:45-10:45 am,,,,,,38.0,,False,,,
104,144,,MATH,2026,WIN,,,,B,,Lecture,TTh,1:15-3:15 pm,,,,,,38.0,,False,,,
105,215,,MATH,2026,WIN,,,,A,,Lecture,M,3:30-5:30 pm,,,"Anderson, Baaska",,,32.0,,False,50% hybrid. Meets in person on Mondays; Asychronous online on Wednesdays.,"Anderson, Baaska",
106,215,,MATH,2026,WIN,,,,B,,Lecture,M,5:45-7:45 pm,,,"Anderson, Baaska",,,32.0,,False,50% hybrid. Meets in person on Mondays; Asychronous online on Wednesdays.,"Anderson, Baaska",
107,215,,MATH,2026,WIN,,,,C,,Lecture,TTh,3:30-5:30 pm,,,"Arian, Eyal",,,32.0,,False,,"Arian, Eyal",
108,,,113,2026,WIN,,,,A,,Lecture,TThF,(FT) 8:45-10:05 am,,,"Gismervig, Emily",,,38.0,,False,,"Gismervig, Emily",
109,,,114,2026,WIN,,,,A,,Lecture,TThF,(FT) 10:15-11:35 am,,,"Gismervig, Emily",,,38.0,,False,,"Gismervig, Emily",
110,,,114,2026,WIN,,,,B,,Lecture,TThF,(FT) 11:45-1:05 pm,,,"Gismervig, Emily",,,38.0,,False,,"Gismervig, Emily",
111,,,124,2026,WIN,,,,A,,Lecture,MWF,(FT) 8:45-10:05 am,,,"Moraiti, Marina",,,38.0,,False,,"Moraiti, Marina",
112,,,124,2026,WIN,,,,B,,Lecture,MWF,(FT) 11:45-1:05 pm,,,"Moraiti, Marina",,,38.0,,False,,"Moraiti, Marina",
113,,,124,2026,WIN,,,,C,,Lecture,TThF,(FT) 10:15-11:35 am,,,"Hockstra, Dale",,,38.0,,False,,"Hockstra, Dale",
114,,,124,2026,WIN,,,,D,,Lecture,TThF,(FT) 11:45-1:05 pm,,,"Hockstra, Dale",,,38.0,,False,,"Hockstra, Dale",
115,,,124,2026,WIN,,,,E,,Lecture,TTh,3:30-5:30 pm,,,"Abudiab, Mufid",,,38.0,,False,,"Abudiab, Mufid",
116,,,124,2026,WIN,,,,F,,Lecture,TTh,11:00 am-1:00 pm,,,"Musselman, Alexandria",,,38.0,,False,,"Musselman, Alexandria",
117,,,124,2026,WIN,,,,G,,Lecture,MWF,(FT) 10:15-11:35 am,,,"Moraiti, Marina",,,38.0,,False,,"Moraiti, Marina",
118,,,125,2026,WIN,,,,A,,Lecture,MWF,(FT) 8:45-10:05 am,,,"Abian, Andrew",,,38.0,,False,,"Abian, Andrew",
119,,,125,2026,WIN,,,,B,,Lecture,MWF,(FT) 10:15-11:35 am,,,"Musselman, Alexandria",,,38.0,,False,,"Musselman, Alexandria",
120,,,125,2026,WIN,,,,C,,Lecture,TTh,1:15-3:15 pm,,,"Dundon, Ariana",,,38.0,,False,,"Dundon, Ariana",
121,,,125,2026,WIN,,,,D,,Lecture,TTh,5:45-7:45 pm,,,"Abudiab, Mufid",,,38.0,,False,,"Abudiab, Mufid",
122,,,125,2026,WIN,,,,E,,Lecture,TTh,3:30-5:30 pm,,,"Dundon, Ariana",,,38.0,,False,,"Dundon, Ariana",
123,,,125,2026,WIN,,,,F,,Lecture,MWF,(FT) 11:45-1:05 pm,,,"Musselman, Alexandria",,,38.0,,False,,"Musselman, Alexandria",
124,,,126,2026,WIN,,,,A,,Lecture,MF,(FT) 10:15-11:35 am,,,"Barchechat, Alexandre",,,38.0,,False,"33% hybrid, meeting in person on MF, Asynchronous online on W","Barchechat, Alexandre",
125,,,126,2026,WIN,,,,B,,Lecture,MF,(FT) 11:45-1:05 pm,,,"Barchechat, Alexandre",,,38.0,,False,"33% hybrid, meeting in person on MF, Asynchronous online on W","Barchechat, Alexandre",
126,,,207,2026,WIN,,,,A,,Lecture,MWF,(FT) 8:45-10:05 am,,,"Musselman, Clark",,,38.0,,False,,"Musselman, Clark",
127,,,207,2026,WIN,,,,B,,Lecture,MWF,(FT) 10:15-11:35 am,,,"Musselman, Clark",,,38.0,,False,,"Musselman, Clark",
128,,,208,2026,WIN,,,,A,,Lecture,TTh,8:45-10:45 am,,,"Paparella, Pietro",,,38.0,,False,,"Paparella, Pietro",
129,,,208,2026,WIN,,,,B,,Lecture,TTh,1:15-3:15 pm,,,,,,38.0,,False,,,
130,,,224,2026,WIN,,,,A,,Lecture,TTh,3:30-5:30 pm,,,"Abian, Andrew",,,38.0,,False,,"Abian, Andrew",
131,,,300,2026,WIN,,,,A,,Lecture,MW,3:30-5:30 pm,,,"Loreto, Milagros",,,24.0,,False,,"Loreto, Milagros",
132,,,301,2026,WIN,,,,A,,Lecture,MW,8:45-10:45 am,,,"Simonsen, Linda",,,24.0,,False,,"Simonsen, Linda",
133,,,341,2026,WIN,,,,A,,Lecture,MW,11:00 am-1:00 pm,,,"Simonsen, Linda",,,24.0,,False,,"Simonsen, Linda",
134,,,390,2026,WIN,,,,A,,Lecture,TTh,1:15-3:15 pm,,,,,,38.0,,False,,,
135,,,392,2026,WIN,,,,A,,Lecture,TTh,8:45-10:45 am,,,"Musselman, Clark",,,24.0,,False,,"Musselman, Clark",
136,,,402,2026,WIN,,,,A,,Lecture,TTh,3:30-5:30 pm,,,"Mann, Casey",,,24.0,,False,,"Mann, Casey",
137,,,402,2026,WIN,,,,B,,Lecture,TTh,1:15-3:15 pm,,,"Mann, Casey",,,24.0,,False,,"Mann, Casey",
138,,,406,2026,WIN,,,,A,,Lecture,MW,3:30-5:30 pm,,,"Humphries, Thomas",,,24.0,,False,,"Humphries, Thomas",
139,,,424,2026,WIN,,,,A,,Lecture,MW,11:00 am-1:00 pm,,,"Loreto, Milagros",,,24.0,,False,,"Loreto, Milagros",
140,,,427,2026,WIN,,,,A,,Lecture,TTh,11:00 am-1:00 pm,,,"Paparella, Pietro",,,24.0,,False,,"Paparella, Pietro",
141,350,,CSS,2026,WIN,,,,A,,,MW,1:15-3:15 pm,,,"Champion, Mia",,,48.0,,False,,"Champion, Mia",
142,360,,CSS,2026,WIN,,,,D,,,MW,1:15-3:15 pm,,,,,,30.0,,False,,,
143,422,,CSS,2026,WIN,,,,A,,,MW,1:15-3:15 pm,,,"Fukuda, Munehiro",,,48.0,,False,,"Fukuda, Munehiro",
144,301,,CSS,2026,WIN,,,,A,,,MW,1:15-3:15 pm,,,,,,30.0,,False,,,
145,342,,CSS,2026,WIN,,,,A,,,MW,1:15-3:15 pm,,,"Olson, Clark",,,40.0,,False,,"Olson, Clark",
146,432,,CSS,2026,WIN,,,,A,,,MW,1:15-3:15 pm,,,,,,48.0,,False,,,
147,432,,CSS,2026,WIN,,,,A,,,MW,1:15-3:15 pm,,,,,,48.0,,False,,,
148,490,,CSS,2026,WIN,,,,B,,,MW,1:15-3:15 pm,,,"Retik, Arkady",,,48.0,,False,,"Retik, Arkady",
149,143,,CSS,2026,WIN,,,,D,,,MW,1:15-3:15 pm,,,"Stride, Jeff",,,48.0,,False,,"Stride, Jeff",
150,337,,CSS,2026,WIN,,,,A,,,MW,1:15-3:15 pm,,,"Thamilarasu, Geetha",,,48.0,,False,,"Thamilarasu, Geetha",
151,110,,CSS,2026,WIN,,,,A,,,MW,1:15-3:15 pm,,,"Pyle, Douglas",,,48.0,,False,,"Pyle, Douglas",
152,133,,CSS,2026,WIN,,,,A,,,MW,1:15-3:15 pm,,,"Ewing, Katie",,,30.0,,False,,"Ewing, Katie",
153,301,,CSS,2026,WIN,,,,C,,,TTh,1:15-3:15 pm,,,,,,30.0,,False,,,
154,497,,CSS,2026,WIN,,,,E,,,TTh,3:30-5:30 pm,,,"Anderson, Laurie",,,20.0,,False,,"Anderson, Laurie",
155,594,,CSSSKL,2026,WIN,,,,A,,,W,3:30-5:30 pm,,,,,,15.0,,False,,,
156,581,,CSS,2026,WIN,,,,A,,,MW,3:30-5:30 pm,,,"Champion, Mia",,,40.0,,False,,"Champion, Mia",
157,211,,CSS,2026,WIN,,,,A,,,TTh,3:30-5:30 pm,,,"Dailey, Dharma",,,48.0,,False,,"Dailey, Dharma",
158,360,,CSS,2026,WIN,,,,C,,,MW,3:30-5:30 pm,,,"Kim, Jeff",,,30.0,,False,,"Kim, Jeff",
159,483,,CSS,2026,WIN,,,,A,,,MW,3:30-5:30 pm,,,"Kim, Wooyoung",,,30.0,,False,,"Kim, Wooyoung",
160,295,,CSS,2026,WIN,,,,A,,,Th,3:30-5:30 pm,,,"Kool, Nancy",,,12.0,,False,,"Kool, Nancy",
161,511,,CSSSKL,2026,WIN,,,,A,,,M,3:30-5:30 pm,,,"Kool, Nancy",,,25.0,,False,,"Kool, Nancy",
162,112,,CSS,2026,WIN,,,,A,,,TTh,3:30-5:30 pm,,,"Lin, Johnny",,,48.0,,False,,"Lin, Johnny",
163,475,,CSS,2026,WIN,,,,B,,,TTh,3:30-5:30 pm,,,,,,48.0,,False,,,
164,430,,CSS,2026,WIN,,,,A,,,MW,3:30-5:30 pm,,,,,,48.0,,False,,,
165,371,,CSS,2026,WIN,,,,A,,,MW,3:30-5:30 pm,,,"Retik, Arkady",,,48.0,,False,,"Retik, Arkady",
166,301,,CSS,2026,WIN,,,,B,,,MW,3:30-5:30 pm,,,"Rubin, Zachary",,,30.0,,False,,"Rubin, Zachary",
167,478,,CSS,2026,WIN,,,,B,,,MW,3:30-5:30 pm,,,"Zolyomi, Annuska",,,40.0,,False,,"Zolyomi, Annuska",
168,101,,CSS,2026,WIN,,,,A,,,TTh,3:30-5:30 pm,,,,,,48.0,,False,,,
169,142,,CSS,2026,WIN,,,,C,,,MW,3:30-5:30 pm,,,"Oliver, Dawn-Marie",,,48.0,,False,,"Oliver, Dawn-Marie",
170,143,,CSS,2026,WIN,,,,A,,,TTh,3:30-5:30 pm,,,"Nixon, David",,,48.0,,False,,"Nixon, David",
171,173,,CSS,2026,WIN,,,,A,,,TTh,3:30-5:30 pm,,,,,,48.0,,False,,,
172,290,,CSS,2026,WIN,,,,A,,,TTh,3:30-5:30 pm,,,,,,48.0,,False,,,
173,290,,CSS,2026,WIN,,,,A,,,TTh,3:30-5:30 pm,,,,,,48.0,,False,,,
174,342,,CSS,2026,WIN,,,,C,,,TTh,3:30-5:30 pm,,,,,,40.0,,False,,,
